residual_sugar,fixed_acidity,chlorides,density,free_sulfur_dioxide
12.2,7.4,0.05,0.9973,57
13.9,7.7,0.05,0.99855,44
1.6,6.4,0.092,0.9928,40
1.45,8.1,0.033,0.9908,11
16.2,8.5,0.074,0.998,41
1.3,6.6,0.02,0.99035,29
7,7.5,0.036,0.9939,45
2,7.2,0.033,0.9906,37
8.5,6.8,0.047,0.9952,52
5,7.2,0.04,0.9906,3
1.1,6.8,0.132,0.9934,42
12.9,6.1,0.054,0.9979,34
7.6,7.2,0.024,0.9928,56
8.1,6.8,0.034,0.9961,55
1.1,6.3,0.04,0.9905,37
1.2,8.2,0.027,0.992,36
13.1,7.1,0.05,0.998,52
4.8,6.2,0.037,0.9928,36
4.6,7,0.057,0.9956,59
1.1,5.5,0.045,0.992,14
13.1,7.1,0.05,0.998,52
5.9,6.3,0.04,0.9941,82.5
1.9,7.8,0.051,0.9928,52
4,6.1,0.023,0.9923,23
17.5,6.8,0.039,0.9994,38
11.9,6.8,0.043,0.997,64
15.3,7.9,0.047,0.9987,54
